"No.","Time","Source","Destination","Protocol","Length","Info"
"52","0.061220","fe80::8de2:7e30:a98e:d731","ff02::fb","MDNS","389","Standard query response 0x0000 PTR Spotify Desktop Launcher(17)._spotify-connect._tcp.local SRV 0 0 51321 Mora.local TXT A 194.210.234.7 AAAA 2001:690:2100:1016:4240:3ef4:28e7:178 AAAA 2001:690:2100:1016:817b:4d05:40e9:855d AAAA fe80::8de2:7e30:a98e:d731"
"53","0.065294","194.210.222.81","194.210.223.255","UDP","82","57621  >  57621 Len=40"
"54","0.065371","194.210.222.211","224.0.0.251","MDNS","127","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question"
"55","0.065584","fe80::104d:7480:647d:4700","ff02::fb","MDNS","147","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question"
"56","0.065862","194.210.220.33","224.0.0.251","MDNS","214","Standard query response 0x0000 TXT, cache flush NSEC, cache flush iPad (38)._companion-link._tcp.local"
"57","0.066138","fe80::86b:2df3:381b:ad1c","ff02::fb","MDNS","234","Standard query response 0x0000 TXT, cache flush NSEC, cache flush iPad (38)._companion-link._tcp.local"
"58","0.066416","194.210.220.46","224.0.0.251","MDNS","106","Standard query 0x0000 TXT iPhone de Margarida._companion-link._tcp.local, ""QU"" question"
"59","0.066601","fe80::86e:33f:7046:51ed","ff02::fb","MDNS","126","Standard query 0x0000 TXT iPhone de Margarida._companion-link._tcp.local, ""QU"" question"
"60","0.066767","194.210.222.137","224.0.0.251","MDNS","389","Standard query response 0x0000 PTR Spotify Desktop Launcher(7)._spotify-connect._tcp.local SRV 0 0 60846 LAPTOP-R1GFEM5F.local TXT A 194.210.222.137 AAAA 2001:690:2100:1016:20d9:6e3:410f:fc19 AAAA 2001:690:2100:1016:a125:c088:1d67:13c0 AAAA fe80::e033:b371:1a19:6f97"
"61","0.066891","194.210.222.35","224.0.0.251","MDNS","260","Standard query response 0x0000 TXT, cache flush NSEC, cache flush iPhone de Margarida._companion-link._tcp.local"
"62","0.067033","fe80::c08:25e8:d67:fbe4","ff02::fb","MDNS","280","Standard query response 0x0000 TXT, cache flush NSEC, cache flush iPhone de Margarida._companion-link._tcp.local"
"63","0.067191","194.210.223.66","224.0.0.251","MDNS","391","Standard query response 0x0000 PTR Spotify Desktop Launcher(16)._spotify-connect._tcp.local SRV 0 0 41636 LAPTOP-TNGKTA55.local TXT A 194.210.223.66 AAAA 2001:690:2100:1016:5be3:b466:5162:3b73 AAAA 2001:690:2100:1016:3d08:fc5a:db89:b093 AAAA fe80::5f6c:71c:5511:a715"
